4E00	0001
4E01	0002
4E03	0003
4E08	0007
4E09	0004
4E0A	0006
4E0B	0005
4E0D	0010
4E10	0009
4E11	0008
4E14	0014
4E15	0011
4E16	0013
4E18	0015
4E19	0012
4E1E	0016
4E1F	0017
4E22	0017
4E26	0018
4E2B	0019
4E2D	0020
4E32	0021
4E38	0022
4E39	0024
4E3B	0025
4E43	0026
4E45	0027
4E4B	0028
4E4D	0030
4E4E	0032
4E4F	0031
4E52	0033
4E53	0034
4E56	0035
4E58	0036
4E59	0037
4E5D	0038
4E5E	0040
4E5F	0039
4E69	0041
4E73	0042
4E7E	0043
4E82	0044
4E86	0045
4E88	0046
4E8B	0047
4E8C	0048
4E8E	0049
4E91	0050
4E92	0052
4E94	0053
4E95	0051
4E99	0054
4E9B	0055
4E9E	0056
4E9F	0057
4EA1	0058
4EA4	0059
4EA5	0061
4EA6	0060
4EA8	0062
4EAB	0063
4EAC	0064
4EAD	0065
4EAE	0066
4EBA	0067
4EC0	0069
4EC1	0068
4EC3	0070
4EC4	0072
4EC6	0073
4EC7	0074
4ECA	0071
4ECB	0076
4ECD	0075
4ED4	0078
4ED5	0079
4ED6	0080
4ED7	0081
4ED8	0077
4ED9	0086
4EDE	0084
4EE3	0082
4EE4	0083
4EE5	0085
4EF2	0098
4EF3	0097
4EF6	0100
4EFB	0096
4EFC	0096
4EFD	0102
4EFF	0087
4F01	0099
4F09	0088
4F0A	0090
4F0D	0092
4F0F	0095
4F10	0093
4F11	0094
4F15	0091
4F19	0089
4F2F	0125
4F30	0111
4F34	0107
4F36	0127
4F38	0117
4F3A	0116
4F3C	0120
4F3D	0115
4F43	0110
4F46	0121
4F47	0105
4F48	0114
4F4D	0103
4F4E	0126
4F4F	0104
4F50	0112
4F51	0113
4F54	0119
4F55	0110
4F57	0106
4F59	0128
4F5B	0109
4F5C	0123
4F5D	0129
4F5E	0108
4F60	0124
4F63	0112
4F69	0143
4F6C	0136
4F6F	0130
4F70	0140
4F73	0134
4F75	0132
4F7B	0144
4F7F	0135
4F83	0141
4F86	0139
4F88	0142
4F8B	0138
4F8D	0133
4F8F	0146
4F96	0145
4F9B	0137
4F9D	0131
4FAE	0162
4FAF	0149
4FB5	0148
4FB6	0156
4FBF	0150
4FC2	0165
4FC3	0155
4FC4	0164
4FCA	0160
4FCE	0166
4FCF	0153
4FD0	0163
4FD1	0152
4FD7	0161
4FD8	0158
4FDA	0157
4FDD	0154
4FDE	0167
4FDF	0159
4FE0	0151
4FE1	0147
524C	0350
56A5	0705
6643	1782
7159	2401
7627	2671
76D4	2722
7A96	2945
7BF7	3012
8151	3315
81E5	3359
829D	3407
83F8	3471
85CF	3555
889E	3691
8C93	3892
916C	4201
9EBC	4716
