3401	37.103
4046	952.602
410D	982.402
4977	1398.307
4E00	1.101
4E01	6.301
4E02	7.401
4E03	7.402
4E05	10.603
4E07	10.604
4E08	10.605
4E09	11.201
4E0A	24.201
4E0B	28.101
4E0C	29.601
4E0D	30.101
4E0E	34.501
4E0F	34.502
4E10	34.503
4E11	34.504
4E14	34.602
4E15	35.101
4E16	35.102
4E18	36.401
4E19	36.501
4E1E	37.102
4E21	37.201
4E22	37.104
4E23	37.202
4E24	37.203
4E28	37.301
4E29	37.302
4E2A	37.303
4E2B	37.401
4E2D	37.402
4E2E	43.403
4E2F	43.401
4E30	43.402
4E31	43.404
4E32	43.502
4E33	43.601
4E35	43.602
4E95	72.401
524C	184.301
56A5	293.204
5B43	393.102
6643	641.202
6CAC	773.602
6DF3	806.501
70DF	847.204
7159	853.201
732B	878.101
7627	922.403
764C	923.602
76D4	939.405
7A96	1000.303
7BF7	1020.302
8151	1099.401
81E5	1106.302
829D	1124.203
83F8	1146.302
846F	1155.301
847D	1155.602
8494	1156.601
849F	1158.302
84D6	1162.404
84F7	1165.404
8587	1169.602
85CF	1173.501
85E5	1175.501
8721	1192.202
8778	1194.302
87BB	1196.603
886E	1210.106
889E	1212.510
8C93	1267.207
916C	1351.501
9BE2	1529.107
9BE7	1529.403
9C3C	1531.103
9D3D	1539.209
9EBC	1553.201
9EBD	1553.301
9F08	1565.502
20000	10.602
20001	10.601
20005	29.603
20009	34.601
2000D	37.101
20065	43.501
233B4	665.302
268DD	1106.301
